tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
8:36.5,,FANELLI-TURSI-BENATI-BAMBOZZI,,XM,RIFONDAZIONE PODISTICA,1 se- 1,Fiumicino,2005-06-25,,https://www.fidal.it/societa/RIFONDAZIONE-PODISTICA/RM074
8:36.5,,FANELLI-TURSI-BENATI-BAMBOZZI,,XM,RIFONDAZIONE PODISTICA,1 su- 1,Fiumicino,2005-06-25,,https://www.fidal.it/societa/RIFONDAZIONE-PODISTICA/RM074
9:25.4,,BERTACCINI-FULLONE-GUSAI-GIORDANO,,XM,A.S. ATL. VILLA GUGLIELMI,2 se- 1,Fiumicino,2005-06-25,,https://www.fidal.it/societa/A-S--ATL--VILLA-GUGLIELMI/RM196
9:53.4,,LoPiccolo-Arcidiacono-Ranieri-Monti,,XM,VIOLETTACLUB,1 su- 1,Reggio Calabria,2005-04-17,,https://www.fidal.it/societa/VIOLETTACLUB/CZ234
8:08.2,,DI CORATO-PARISI-DI LASCIO-TRAGNO,,XM,AMATORI ATL. ACQUAVIVA,1 su- 1,Acquaviva,2006-04-23,,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
8:15.2,,MINGOLLA S. - SOLETI D. - INSALAT M. - MARANGI A.,,XM,ATL. AMATORI CISTERNINO,2 su- 1,Acquaviva,2006-04-23,,https://www.fidal.it/societa/ATL--AMATORI-CISTERNINO/BR104
8:25.3,,"MERCURI,BONADDIO,CARDAMONE,BRUNO",,XM,LIBERTAS ATL.LAMEZIA,1 su- 1,Reggio Calabria,2006-04-09,,https://www.fidal.it/societa/LIBERTAS-ATL-LAMEZIA/CZ009
8:35.60,,ZAOUIA RENZI FERRETTI DEMASI,,XM,ATLETICA FABRIANO - OSIMO,1 se- 1,Fabriano,2006-05-06,,https://www.fidal.it/societa/ATLETICA-FABRIANO-OSIMO/AN037
8:35.60,,ZAOUIA RENZI FERRETTI DEMASI,,XM,ATLETICA FABRIANO - OSIMO,1 se- 1,Fabriano,2006-05-06,,https://www.fidal.it/societa/ATLETICA-FABRIANO-OSIMO/AN037
8:37.27,,CICCONI CIPPITELLI CORVATTA FELICIOLI,,XM,ATL. AVIS MACERATA,2 se- 1,Fabriano,2006-05-06,,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
8:37.27,,CICCONI CIPPITELLI CORVATTA FELICIOLI,,XM,ATL. AVIS MACERATA,2 se- 1,Fabriano,2006-05-06,,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
8:38.8,,MARINELLI B.- RIDGER M. - DI LERNIA G. - ORSI TOTH L.,,XM,ATL. ADEN  ABACO MOLFETTA,1 su- 1,Acquaviva,2006-04-23,,https://www.fidal.it/societa/ATL--ADEN-ABACO-MOLFETTA/BA091
8:39.0,,"CUZZOCREA,FERRAGINA,CAPOTOSTI,BONADDIO",,XM,VIOLETTACLUB,2 su- 1,Reggio Calabria,2006-04-09,,https://www.fidal.it/societa/VIOLETTACLUB/CZ234
8:59.03,,LAURETI - BAGGIO - GALLOTTO - BARRICELLI,,XM,ATLETICA VERCELLI 78,1 su- 1,Borgosesia,2006-10-21,,https://www.fidal.it/societa/ATLETICA-VERCELLI-78/VC004
9:41.61,,CICCARELLI MOBILI COMPAGNUCCI FAZI,,XM,ATL. AVIS MACERATA,3 se- 1,Fabriano,2006-05-06,,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
9:41.61,,CICCARELLI MOBILI COMPAGNUCCI FAZI,,XM,ATL. AVIS MACERATA,3 se- 1,Fabriano,2006-05-06,,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
10:21.97,,BOCCARDO - CREVACORE - PELI - FORMICA,,XM,ATLETICA VERCELLI 78,2 su- 1,Borgosesia,2006-10-21,,https://www.fidal.it/societa/ATLETICA-VERCELLI-78/VC004
8:25.6,,PALMAS-OBERSTOLZ-CUSMA-DI GRAZIA,,XF,C.S. ESERCITO,1 su- 1,Roma,2006-05-07,,https://www.fidal.it/societa/C-S--ESERCITO/RM052
9:14.7,,COSTANZA-SPIGAROLO-SICARI-OLIVA,,XF,C.S. ESERCITO,2 su- 1,Roma,2006-05-07,,https://www.fidal.it/societa/C-S--ESERCITO/RM052
9:40.3,,COPPOLA-MONTANARI-OLIVIERI-GHIBELLINI,,XF,FONDIARIA - SAI ATLETICA,3 su- 1,Roma,2006-05-07,,https://www.fidal.it/societa/FONDIARIA-SAI-ATLETICA/RM131
9:41.3,,DOVERI-FRANZOLINI-D'AGOSTINO-DEBONIS,,XF,FONDIARIA - SAI ATLETICA,4 su- 1,Roma,2006-05-07,,https://www.fidal.it/societa/FONDIARIA-SAI-ATLETICA/RM131
10:09.8,,"BUTTINELLI,LATELLA,CARDAMONE,DE LEO",,XF,VIOLETTACLUB,1 su- 1,Reggio Calabria,2006-04-09,,https://www.fidal.it/societa/VIOLETTACLUB/CZ234
10:14.9,,FALCO-LOMUSCIO-PELLEGRINI-VENTRELLA,,XF,A.S. OLIMPIA CLUB,1 su- 1,Acquaviva,2006-04-23,,https://www.fidal.it/societa/A-S--OLIMPIA-CLUB/BA015
