tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
7:42.88,,GADAU Fabio,1992,CM,ATL LEGG PORTO TORRES,4 su- 1,Sassari,2007-04-29,https://www.fidal.it/atleta/GADAU-Fabio/iKiSmJqmbmY%3D,https://www.fidal.it/societa/ATL-LEGG-PORTO-TORRES/SS059
6:03.54,,BALDESSARI Luca,1990,AM,G.S. TRILACUM,1 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/BALDESSARI-Luca/d6iRkpekbGg%3D,https://www.fidal.it/societa/G-S--TRILACUM/TN524
6:09.62,,CIRILLO Pasquale,1990,AM,A.S.D. AGG. HINNA,2 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/CIRILLO-Pasquale/gKiRlZSoamQ%3D,https://www.fidal.it/societa/A-S-D--AGG--HINNA/NA014
6:11.17,,TAVELLA Maurizio,1991,AM,A.S. DILETT.  SAFATLETICA,3 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/TAVELLA-Maurizio/dKyRk5iobmU%3D,https://www.fidal.it/societa/A-S--DILETT--SAFATLETICA/TO074
6:12.22,,CIRILLO Pasquale,1990,AM,A.S.D. AGG. HINNA,1 se- 1,Salerno,2007-09-08,https://www.fidal.it/atleta/CIRILLO-Pasquale/gKiRlZSoamQ%3D,https://www.fidal.it/societa/A-S-D--AGG--HINNA/NA014
6:13.16,,BALDESSARI Luca,1990,AM,G.S. TRILACUM,1 se- 1,Pergine Borgo,2007-09-15,https://www.fidal.it/atleta/BALDESSARI-Luca/d6iRkpekbGg%3D,https://www.fidal.it/societa/G-S--TRILACUM/TN524
6:13.51,,MENCULINI Lorenzo,1990,AM,ATL.CSAIN PERUGIA,1 se- 1,Orvieto,2007-06-24,https://www.fidal.it/atleta/MENCULINI-Lorenzo/fqiRk5egb2o%3D,https://www.fidal.it/societa/ATL-CSAIN-PERUGIA/PG020
6:13.87,,SCOLERI Andrea,1990,AM,C. U. S. TORINO,4 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/SCOLERI-Andrea/dK6RlJmmaGg%3D,https://www.fidal.it/societa/C--U--S--TORINO/TO001
6:16.05,,PINTUS Giovanni,1991,AM,ATL LEGG PORTO TORRES,1 su- 1,Oristano,2007-09-09,https://www.fidal.it/atleta/PINTUS-Giovanni/iKiRlJSha2k%3D,https://www.fidal.it/societa/ATL-LEGG-PORTO-TORRES/SS059
6:16.1,,MENCULINI Lorenzo,1990,AM,ATL.CSAIN PERUGIA,1 su- 1,Rieti,2007-06-19,https://www.fidal.it/atleta/MENCULINI-Lorenzo/fqiRk5egb2o%3D,https://www.fidal.it/societa/ATL-CSAIN-PERUGIA/PG020
6:16.56,,PINTUS Giovanni,1991,AM,ATL LEGG PORTO TORRES,1 su- 1,Olbia,2007-05-12,https://www.fidal.it/atleta/PINTUS-Giovanni/iKiRlJSha2k%3D,https://www.fidal.it/societa/ATL-LEGG-PORTO-TORRES/SS059
6:16.88,,NALDI Stefano,1990,AM,C.U.S. PAVIA,5 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/NALDI-Stefano/dqAAARlpujaGo%3D,https://www.fidal.it/societa/C-U-S--PAVIA/PV108
6:17.00,,EL MAZOURY Ahmed,1990,AM,ATL. LECCO-COLOMBO COSTRUZ.,1 su- 1,Sulmona,2007-06-09,https://www.fidal.it/atleta/EL-MAZOURY-Ahmed/dquRkpWjcGg%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
6:18.61,,PINTUS Giovanni,1991,AM,ATL LEGG PORTO TORRES,6 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/PINTUS-Giovanni/iKiRlJSha2k%3D,https://www.fidal.it/societa/ATL-LEGG-PORTO-TORRES/SS059
6:18.70,,GENESIO Alberto,1991,AM,UNIVERSALE ALBA DOCILIA,1 se- 1,Genova,2007-09-29,https://www.fidal.it/atleta/GENESIO-Alberto/daiUlpWmaWM%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
6:19.39,,SARTORI Giacomo,1991,AM,ATL.VICENTINA,7 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/SARTORI-Giacomo/eK6RkpOjbmQ%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
6:19.41,,TAVELLA Maurizio,1991,AM,A.S. DILETT.  SAFATLETICA,2 su- 1,Sulmona,2007-06-09,https://www.fidal.it/atleta/TAVELLA-Maurizio/dKyRk5iobmU%3D,https://www.fidal.it/societa/A-S--DILETT--SAFATLETICA/TO074
6:19.54,,PINTUS Giovanni,1991,AM,ATL LEGG PORTO TORRES,1 se- 1,Sassari,2007-06-07,https://www.fidal.it/atleta/PINTUS-Giovanni/iKiRlJSha2k%3D,https://www.fidal.it/societa/ATL-LEGG-PORTO-TORRES/SS059
6:19.84,,GENESIO Alberto,1991,AM,UNIVERSALE ALBA DOCILIA,8 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/GENESIO-Alberto/daiUlpWmaWM%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
6:20.31,,LEITNER Florian,1990,AM,S.G EISACKTAL RAIFFEISEN ASV,1 se- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/LEITNER-Florian/iaiRkpejamc%3D,https://www.fidal.it/societa/S-G-EISACKTAL-RAIFFEISEN-ASV/BZ068
6:20.66,,PINTUS Giovanni,1991,AM,ATL LEGG PORTO TORRES,1 su- 1,Sassari,2007-04-29,https://www.fidal.it/atleta/PINTUS-Giovanni/iKiRlJSha2k%3D,https://www.fidal.it/societa/ATL-LEGG-PORTO-TORRES/SS059
6:20.99,,TAVELLA Maurizio,1991,AM,A.S. DILETT.  SAFATLETICA,1 su- 1,Torino,2007-09-29,https://www.fidal.it/atleta/TAVELLA-Maurizio/dKyRk5iobmU%3D,https://www.fidal.it/societa/A-S--DILETT--SAFATLETICA/TO074
6:21.08,,PEYRONEL Francesco,1990,AM,G.S. C.S.I. MORBEGNO,3 se- 1,Bressanone,2007-05-27,https://www.fidal.it/atleta/PEYRONEL-Francesco/dqiRlpufbGc%3D,https://www.fidal.it/societa/G-S--C-S-I--MORBEGNO/SO114
6:21.21,,SPONZA Luca,1991,AM,C.AZ. FINCANTIERI WARTSILA IT.,2 se- 1,Busto Arsizio,2007-06-09,https://www.fidal.it/atleta/SPONZA-Luca/eauRkpmkcGw%3D,https://www.fidal.it/societa/C-AZ--FINCANTIERI-WARTSILA-IT-/TS087
6:21.3,,BALDESSARI Luca,1990,AM,G.S. TRILACUM,1 su- 1,Chiavenna,2007-09-06,https://www.fidal.it/atleta/BALDESSARI-Luca/d6iRkpekbGg%3D,https://www.fidal.it/societa/G-S--TRILACUM/TN524
6:22.00,,EL MAZOURY Ahmed,1990,AM,ATL. LECCO-COLOMBO COSTRUZ.,1 su- 1,Saronno,2007-05-26,https://www.fidal.it/atleta/EL-MAZOURY-Ahmed/dquRkpWjcGg%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
6:23.17,,SPONZA Luca,1991,AM,C.AZ. FINCANTIERI WARTSILA IT.,1 se- 1,Gorizia,2007-09-15,https://www.fidal.it/atleta/SPONZA-Luca/eauRkpmkcGw%3D,https://www.fidal.it/societa/C-AZ--FINCANTIERI-WARTSILA-IT-/TS087
6:24.48,,PETRARCHINI Alessio,1991,AM,ASS.ATL.LIBERTAS ORVIETO,10 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/PETRARCHINI-Alessio/fqiRk5qfaGw%3D,https://www.fidal.it/societa/ASS-ATL-LIBERTAS-ORVIETO/TR024
6:24.77,,ELKOUNIA Soufiane,1990,AM,C.U.S. PAVIA,2 se- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/ELKOUNIA-Soufiane/dqAAARl5Kgbmo%3D,https://www.fidal.it/societa/C-U-S--PAVIA/PV108
6:25.61,,LO GRASSO Antonio,1990,AM,A.S. DIL. POL. A.P.B. JUNIOR,11 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/LO-GRASSO-Antonio/h6iRlZanaWw%3D,https://www.fidal.it/societa/A-S--DIL--POL--A-P-B--JUNIOR/PA184
6:25.82,,NALDI Stefano,1990,AM,C.U.S. PAVIA,1 se- 1,Lodi,2007-09-16,https://www.fidal.it/atleta/NALDI-Stefano/dqAAARlpujaGo%3D,https://www.fidal.it/societa/C-U-S--PAVIA/PV108
6:25.87,,LO GRASSO Antonio,1990,AM,A.S. DIL. POL. A.P.B. JUNIOR,1 su- 1,Palermo,2007-09-22,https://www.fidal.it/atleta/LO-GRASSO-Antonio/h6iRlZanaWw%3D,https://www.fidal.it/societa/A-S--DIL--POL--A-P-B--JUNIOR/PA184
6:26.39,,BRONZOLINO Raffaele,1990,AM,A.S.D. POL.WINNERS PALERMO,2 su- 1,Palermo,2007-09-22,https://www.fidal.it/atleta/BRONZOLINO-Raffaele/h6iRlpemaGg%3D,https://www.fidal.it/societa/A-S-D--POL-WINNERS-PALERMO/PA277
6:26.59,,SPONZA Luca,1991,AM,C.AZ. FINCANTIERI WARTSILA IT.,12 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/SPONZA-Luca/eauRkpmkcGw%3D,https://www.fidal.it/societa/C-AZ--FINCANTIERI-WARTSILA-IT-/TS087
6:26.73,,SCOLERI Andrea,1990,AM,C. U. S. TORINO,2 su- 1,Torino,2007-09-29,https://www.fidal.it/atleta/SCOLERI-Andrea/dK6RlJmmaGg%3D,https://www.fidal.it/societa/C--U--S--TORINO/TO001
6:26.75,,PETRARCHINI Alessio,1991,AM,ASS.ATL.LIBERTAS ORVIETO,1 se- 1,Narni,2007-09-29,https://www.fidal.it/atleta/PETRARCHINI-Alessio/fqiRk5qfaGw%3D,https://www.fidal.it/societa/ASS-ATL-LIBERTAS-ORVIETO/TR024
6:26.81,,FILL Mirko,1991,AM,S.G EISACKTAL RAIFFEISEN ASV,3 se- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/FILL-Mirko/iaiRkpihamY%3D,https://www.fidal.it/societa/S-G-EISACKTAL-RAIFFEISEN-ASV/BZ068
6:27.23,,SARTORI Giacomo,1991,AM,ATL.VICENTINA,1 su- 1,Vicenza,2007-09-15,https://www.fidal.it/atleta/SARTORI-Giacomo/eK6RkpOjbmQ%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
6:27.62,,EL MAZOURY Ahmed,1990,AM,ATL. LECCO-COLOMBO COSTRUZ.,1 se- 1,Milano,2007-09-08,https://www.fidal.it/atleta/EL-MAZOURY-Ahmed/dquRkpWjcGg%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
6:27.86,,BADANO Andrea,1990,AM,ATLETICA CAIRO,4 se- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/BADANO-Andrea/daiUlpSlaWs%3D,https://www.fidal.it/societa/ATLETICA-CAIRO/SV021
6:27.92,,PINTUS Giovanni,1991,AM,ATL LEGG PORTO TORRES,3 su- 1,Aiaccio,2007-05-24,https://www.fidal.it/atleta/PINTUS-Giovanni/iKiRlJSha2k%3D,https://www.fidal.it/societa/ATL-LEGG-PORTO-TORRES/SS059
6:28.19,,VIVIANI Federico,1991,AM,MARATHON U.O.E.I. TRIESTE,2 se- 1,Gorizia,2007-09-15,https://www.fidal.it/atleta/VIVIANI-Federico/eauRkpqla2U%3D,https://www.fidal.it/societa/MARATHON-U-O-E-I--TRIESTE/TS044
6:28.58,,GARGANO Francesco,1991,AM,JAKY-TECH ALTERATLETICA,13 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/GARGANO-Francesco/hKiSmZeiaWY%3D,https://www.fidal.it/societa/JAKY-TECH-ALTERATLETICA/BA089
6:28.73,,LEONARDI Davide,1990,AM,ATL. IMOLA SACMI AVIS,6 se- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/LEONARDI-Davide/eqiRlZOna2s%3D,https://www.fidal.it/societa/ATL--IMOLA-SACMI-AVIS/BO014
6:28.80,,PEYRONEL Francesco,1990,AM,G.S. C.S.I. MORBEGNO,1 su- 1,Lecco,2007-05-12,https://www.fidal.it/atleta/PEYRONEL-Francesco/dqiRlpufbGc%3D,https://www.fidal.it/societa/G-S--C-S-I--MORBEGNO/SO114
